"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"688",2001,104,4,6.05,2499,"PG-13"
"689",1980,97,5.3,6,2092,"PG"
"690",1978,94,5.9,6,17718,"R"
"691",2019,109,6,5.96,42007,"PG-13"
"692",1986,84,7.3,5.85,36333,"PG"
"693",1995,108,6.4,5.78,23941,"R"
"694",1989,108,5.8,5.78,5794,"PG-13"
"695",2015,110,6,5.78,49457,"PG-13"
"696",2018,96,7.6,5.75,4387,"PG-13"
"697",1990,94,6,5.73,12149,"R"
"698",2018,102,5.8,5.72,11702,"PG-13"
"699",1982,99,3.8,5.68,3108,"PG"
"700",1998,96,5.5,5.66,18898,"R"
"701",1993,76,7.8,5.62,40107,"PG"
"702",2018,148,6.3,5.57,19426,"Not Rated"
"703",2007,86,6.7,5.52,13027,"R"
"704",2006,100,7.1,5.5,102999,"R"
"705",1991,99,4.9,5.45,1927,"R"
"706",1992,90,6.2,5.43,11199,"R"
"707",1989,83,4.4,5.37,1187,"PG"
"708",1985,107,6.2,5.35,2832,"R"
"709",1988,113,6.2,5.34,10027,"R"
"710",1983,84,3.8,5.3,1502,"PG"
"711",2005,96,2.4,5.18,40926,"R"
"712",1993,95,4.5,5.09,3126,"R"
