"","titles","years"
"2384","Tickle Me",1965
"2385","Clifford",1994
"2386","Doogal",2006
"2387","It Runs in the Family",2003
"2388","Mid90s",2018
"2389","The Squid and the Whale",2005
"2390","Alice",1990
"2391","Wild America",1997
"2392","Who's That Girl",1987
"2393","Thank God It's Friday",1978
"2394","Eat Drink Man Woman",1994
"2395","Outside Providence",1999
"2396","Barcelona",1994
"2397","Big Trouble",2002
"2398","Buddy Buddy",1981
"2399","Friends with Kids",2011
"2400","The Missionary",1982
"2401","B*A*P*S",1997
"2402","Hello, Dolly!",1969
"2403","The Big Year",2011
"2404","Transylvania 6-5000",1985
"2405","American Dreamz",2006
"2406","Zeus and Roxanne",1997
"2407","Women on the Verge of a Nervous Breakdown",1988
"2408","The Hoax",2006
"2409","North",1994
"2410","She's Gotta Have It",1986
"2411","Gulliver's Travels",1939
"2412","Hardbodies",1984
"2413","Beatriz at Dinner",2017
"2414","Girl Happy",1965
"2415","The Stunt Man",1980
"2416","Dear God",1996
"2417","Phat Girlz",2006
"2418","Screwed",2000
"2419","Kissing Jessica Stein",2001
"2420","Hiding Out",1987
"2421","The Triplets of Belleville",2003
"2422","An American Carol",2008
"2423","The Last Time",2006
"2424","Our Brand Is Crisis",2015
"2425","Grandma",2015
"2426","House Arrest",1996
"2427","I Ought to Be in Pictures",1982
"2428","Shag",1989
"2429","La Cage aux Folles II",1980
"2430","Suburban Commando",1991
"2431","BASEketball",1998
"2432","Almost an Angel",1990
"2433","The Wedding Banquet",1993
"2434","Take Me Home Tonight",2011
"2435","State and Main",2000
"2436","A Boy and His Dog",1975
"2437","The Brothers Grimsby",2016
"2438","Romantic Comedy",1983
"2439","Cedar Rapids",2011
"2440","The Spectacular Now",2013
"2441","200 Cigarettes",1999
"2442","Exit to Eden",1994
"2443","Dog Days",2018
"2444","The Chipmunk Adventure",1987
"2445","Mixed Nuts",1994
"2446","Trick or Treat",1986
"2447","Thunderbirds",2004
"2448","Thunder and Lightning",1977
"2449","Running with Scissors",2006
"2450","Me and Earl and the Dying Girl",2015
"2451","Town & Country",2001
"2452","Smoke Signals",1998
"2453","Mighty Aphrodite",1995
"2454","Le placard",2001
"2455","Hairspray",1988
"2456","City Island",2009
"2457","Where the Buffalo Roam",1980
"2458","The Gong Show Movie",1980
"2459","Seeking a Friend for the End of the World",2012
"2460","The Savages",2007
"2461","Bride & Prejudice",2004
"2462","Millions",2004
"2463","The Dead Don't Die",2019
"2464","Strange Wilderness",2008
"2465","Lost & Found",1999
"2466","Let's Make Love",1960
"2467","Aloma of the South Seas",1926
"2468","3 Idiots",2009
"2469","The Rules of Attraction",2002
"2470","The Road to Wellville",1994
"2471","Teacher's Pet",2004
"2472","Flashback",1990
"2473","The Big Bounce",2004
"2474","Hot to Trot",1988
"2475","Six Degrees of Separation",1993
"2476","The Rocker",2008
"2477","The Major and the Minor",1942
"2478","The Aristocrats",2005
"2479","Article 99",1992
"2480","Post Grad",2009
"2481","Cantinflas",2014
"2482","Hyde Park on Hudson",2012
"2483","Shirley Valentine",1989
"2484","It's Kind of a Funny Story",2010
"2485","The Sting II",1983
"2486","Motel Hell",1980
"2487","Girls Just Want to Have Fun",1985
"2488","How to Succeed in Business Without Really Trying",1967
"2489","Little Miss Marker",1980
"2490","Honky Tonk",1941
"2491","In the Good Old Summertime",1949
"2492","What Planet Are You From?",2000
"2493","The Gods Must Be Crazy II",1989
"2494","One Night at McCool's",2001
"2495","Ed",1996
"2496","Steal Big Steal Little",1995
"2497","A Night in the Life of Jimmy Reardon",1988
"2498","The Adventures of Buckaroo Banzai Across the 8th Dimension",1984
"2499","Widows' Peak",1994
"2500","Dick",1999
"2501","Mambo Italiano",2003
"2502","Ghost World",2001
"2503","Oh Heavenly Dog",1980
"2504","Night and the City",1992
"2505","Topsy-Turvy",1999
"2506","Americathon",1979
"2507","Mystery Date",1991
"2508","My Friend Irma",1949
"2509","UHF",1989
"2510","Barton Fink",1991
"2511","The Pope of Greenwich Village",1984
"2512","Folks!",1992
"2513","Chasing Papi",2003
"2514","Almost Heroes",1998
"2515","Short Cuts",1993
"2516","The Interview",2014
"2517","Somebody Killed Her Husband",1978
"2518","Rustlers' Rhapsody",1985
"2519","Grandma's Boy",2006
"2520","Heaven Help Us",1985
"2521","Just Getting Started",2017
"2522","Gigli",2003
"2523","Partners",1982
"2524","Racing with the Moon",1984
"2525","A Fine Mess",1986
"2526","Foolish",1999
"2527","The Opposite Sex",1956
